Not Spam,[0.8953299],"Hello friend. We sell designer bags, shoes, watches, jewelry, clothes and sunglasses. All items are 1; 1 is the highest quality. Welcome to send pictures for consultation
"
Not Spam,[0.64385242],"mportant notice. Hello dear friends, we invite you to join the ""Klaus Team (Bitcoin/Ethernet and other cryptocurrencies) Internal Discussion Group"". This discussion group will train you how to earn between $500 and $50,000 per day. A new wave of price increases in Bitcoin has begun, with professional research and analysis predicting a price rise of over $35,000. Professor Klaus will guide you through the exact trade layout and make an amazing amount of money! Please click on the link below to join, thank you. https://chat.whatsapp.com/KJAzVnd7Eo4EMpqZ75cJbE 
"
Not Spam,[0.99766338],"Hey guys, something came up last minute for me, can we move the meeting to later tonight? Is everyone available around 6pm or later?
"
Not Spam,[0.90433709],"Hello, I'm Betty what do you call you?
"
Not Spam,[0.67087683],"Your DoorDash order has been delivered. Per your instructions, your Dasher left it at your door.
"
Not Spam,[0.80574367],"Did they send you a referral link? If not, I'll just sign up myself
"
Not Spam,[0.97254531],"Let me check real quick
"
Not Spam,[0.9863027],"See you all soon. Drive safe
"
Not Spam,[0.87257752],"I'm down for boba with you
"
Not Spam,[0.97235476],Should we wait for Cici's timing?
